timestamp,note,actual_cat,clean_note
2024-01-27,routine inspection,Noise,routine inspection
2024-01-27,hydr leak on joint,Hydraulic,hydraulic leak on joint
2024-01-27,seal repl in hydr system,Hydraulic,seal replace in hydraulic system
2024-01-27,piston pressure low,Hydraulic,piston pressure low
2024-01-27,wiring frayed on motor,Electrical,wiring frayed on motor
2024-01-27,short circuit detected,Electrical,short circuit detected
2024-01-28,hydr leak on joint,Hydraulic,hydraulic leak on joint
2024-01-28,seal repl in hydr system,Hydraulic,seal replace in hydraulic system
2024-01-28,discussed with shift lead,Noise,discussed with shift lead
2024-01-28,gearbox metal shavings found,Mechanical,gearbox metal shavings found
2024-01-28,routine inspection,Noise,routine inspection
2024-01-28,cleaned workstation,Noise,cleaned workstation
2024-01-28,hydr leak on joint,Hydraulic,hydraulic leak on joint
2024-01-28,wiring frayed on motor,Electrical,wiring frayed on motor
2024-01-28,cleaned workstation,Noise,cleaned workstation
2024-01-28,seal repl in hydr system,Hydraulic,seal replace in hydraulic system
2024-01-28,piston pressure low,Hydraulic,piston pressure low
2024-01-28,routine inspection,Noise,routine inspection
2024-01-28,short circuit detected,Electrical,short circuit detected
2024-01-28,bearing noisy,Mechanical,bearing noise
2024-01-28,short circuit detected,Electrical,short circuit detected
2024-01-28,cleaned workstation,Noise,cleaned workstation
2024-01-28,bearing noisy,Mechanical,bearing noise
2024-01-28,vibr in main drive,Mechanical,vibration in main drive
